 Lambda  Total   N/N      N+N      N2+     
  979.1 8.37E-17 8.37E-17 0.00E+00 0.00E+00
  985.7 1.60E-17 1.60E-17 0.00E+00 0.00E+00
  987.5 2.98E-18 2.98E-18 0.00E+00 0.00E+00
  989.8 1.67E-19 1.67E-19 0.00E+00 0.00E+00
  991.5 7.44E-20 7.44E-20 0.00E+00 0.00E+00
  991.9 1.79E-17 1.79E-17 0.00E+00 0.00E+00
  997.0 1.86E-19 1.86E-19 0.00E+00 0.00E+00
 1000.0 3.72E-19 3.72E-19 0.00E+00 0.00E+00
 1008.0 6.00E-20 6.00E-20 0.00E+00 0.00E+00
 1025.7 1.00E-21 1.00E-21 0.00E+00 0.00E+00
 1031.9 7.00E-22 7.00E-22 0.00E+00 0.00E+00
 1037.6 7.00E-22 7.00E-22 0.00E+00 0.00E+00
 1038.0 1.00E-35 1.00E-35 0.00E+00 0.00E+00
 1270.4 1.00E-35 1.00E-35 0.00E+00 0.00E+00
