 Lambda  Total   sCH2/H2  CH3/H    CH2/H/H  CH4+     CH3+H    CH2+H2   CH+H2/H  H+CH3    CH/H2/H 
 1540.0 9.20E-24 7.57E-24 1.63E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1550.0 8.10E-24 6.59E-24 1.51E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1560.0 7.40E-24 5.95E-24 1.45E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1570.0 7.10E-24 5.64E-24 1.46E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1580.0 6.80E-24 5.33E-24 1.47E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1590.0 6.40E-24 4.95E-24 1.45E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1600.0 6.00E-24 4.58E-24 1.42E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1850.0 4.00E-24 2.07E-24 1.93E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.44E-40
 2100.0 1.00E-25 2.70E-26 7.30E-26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 2373.0 3.00E-26 0.00E+00 3.00E-26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 2770.0 1.00E-28 0.00E+00 1.00E-28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
